date,nasdaq,bitcoin,nasdaq_pct,btc_pct
2024-02-26,436.55,51751.884054934555,,
2024-02-27,437.6,54478.191083122954,0.24052227694422168,5.268034348845019
2024-02-28,435.27,57003.52673730811,-0.5324497257769734,4.635498359943679
2024-02-29,439.0,62558.58202419311,0.8569393709651596,9.745108074601427
2024-03-01,445.61,61298.216861101624,1.5056947608200533,-2.0146958615591126
2024-03-04,444.02,63053.10543906421,-0.356814254617277,2.8628705169990054
2024-03-05,436.05,68186.64593432152,-1.7949641908022063,8.141614056136337
2024-03-06,438.79,64291.536557569496,0.6283683063868839,-5.712422606185763
2024-03-07,445.45,66145.91927850846,1.517810342077075,2.884334113368814
2024-03-08,439.02,66944.87639053575,-1.4434841171848678,1.2078705999432282
2024-03-11,437.39,69075.66688195744,-0.3712814905926787,3.1829030185839935
2024-03-12,443.66,72130.55300765681,1.4335032808248993,4.42252136475183
2024-03-13,440.25,71467.17350326062,-0.7686065906324702,-0.9196928024741036
2024-03-14,439.14,73097.76702694128,-0.2521294718909717,2.2815978913819146
2024-03-15,433.92,71420.03180142345,-1.188686979095499,-2.2951935384010747
2024-03-18,437.48,68425.41565643054,0.8204277286135708,-4.192963891866008
2024-03-19,438.57,67708.94360930806,0.24915424705129752,-1.0470846837379089
2024-03-20,443.77,62132.51737873437,1.1856716145655088,-8.235878354195869
2024-03-21,445.87,67819.05570684028,0.47321810847962276,9.152274152104777
2024-03-22,446.38,65535.97844847657,0.1143831161549258,-3.3664244283092337
2024-03-25,444.76,67310.98326810106,-0.3629194856400342,2.7084433034290756
2024-03-26,443.32,69938.94530200244,-0.32377012321251897,3.9042098425960514
2024-03-27,444.83,70082.05122475982,0.34061174772173075,0.20461550019010843
2024-03-28,444.01,69435.75040305211,-0.18434008497628662,-0.92220591494242
2024-04-01,444.95,71246.95144060145,0.21170694353731534,2.6084560576301152
2024-04-02,441.11,69785.92503802372,-0.8630183166647876,-2.0506511128350335
2024-04-03,442.1,65440.41922587159,0.22443381469474666,-6.2269086635799775
2024-04-04,435.34,66123.938539074,-1.5290658222121833,1.044491036714179
2024-04-05,440.47,68542.17715279506,1.1783893049111205,3.6571303330518834
2024-04-08,440.6,69401.97360911008,0.029513928303859238,1.2544049401850055
2024-04-09,442.23,71624.18486236996,0.36995006808897557,3.2019424487492953
2024-04-10,438.37,69158.64381207665,-0.8728489699929898,-3.4423303455822785
2024-04-11,445.37,70527.88997578963,1.5968246002235453,1.9798626581423395
2024-04-12,438.27,70106.66413070948,-1.5941801199003125,-0.5972471957189418
2024-04-15,431.06,65752.66004728881,-1.6451046158760585,-6.210542374834594
2024-04-16,431.1,63430.5714573684,0.009279450656518584,-3.531550796956928
2024-04-17,425.84,63720.501587480736,-1.2201345395499996,0.4570826392557237
2024-04-18,423.41,61328.89798860725,-0.5706368589141309,-3.7532717717077224
2024-04-19,414.65,63461.592695107174,-2.0689166528896408,3.477471104887786
2024-04-22,418.82,64936.4207567739,1.0056674303629665,2.3239695050710996
2024-04-23,425.07,66841.66685207361,1.492287856358332,2.9340177254856936
2024-04-24,426.51,66406.95244392671,0.33876773237349056,-0.6503644038515111
2024-04-25,424.45,64279.51812857524,-0.4829898478347472,-3.2036319045778416
2024-04-26,431.0,64486.183359158975,1.5431735186712148,0.3215102362316369
2024-04-29,432.75,63030.433616681854,0.40603248259860614,-2.2574599187693445
2024-04-30,424.59,63797.67963589958,-1.8856152512998325,1.2172627970223227
2024-05-01,421.52,60749.47209216387,-0.7230504722202546,-4.7779285408688255
2024-05-02,426.9,58297.574075325494,1.276333270070218,-4.036081191155983
2024-05-03,435.43,59135.1733607733,1.9981260248301824,1.4367652492118355
2024-05-06,440.25,64010.00865210892,1.1069517488459635,8.243546123717449
2024-05-07,440.32,63172.48129551341,0.015900056785911332,-1.3084318753140978
2024-05-08,440.06,62363.057191718624,-0.059047965116276746,-1.2812922449704
2024-05-09,441.02,61215.50400879193,0.21815207017223948,-1.8401169451953692
2024-05-10,442.06,63148.599943097026,0.23581696975194522,3.157853497420282
2024-05-13,443.08,61507.054004121346,0.2307379088811512,-2.599496965023562
2024-05-14,445.93,62878.783300729294,0.6432246998284707,2.230198338740186
2024-05-15,452.9,61569.1130057734,1.5630255869755194,-2.0828492954326983
2024-05-16,451.98,66220.51831432826,-0.20313534996687643,7.554770698286162
2024-05-17,451.76,65260.879803346186,-0.04867472012036744,-1.449155843853367
2024-05-20,454.91,66252.71259591613,0.6972728882592705,1.5197968454588429
2024-05-21,455.8,71430.29700215145,0.19564309423840687,7.814901765327065
2024-05-22,455.71,70189.8358177002,-0.019745502413348603,-1.7366037053071381
2024-05-23,453.66,69181.20085677762,-0.44984749072873864,-1.4370100017646936
2024-05-24,457.95,67906.46534276106,0.9456421108319013,-1.842603912955454
2024-05-28,459.68,69367.23871755725,0.3777704989627706,2.1511550740019647
2024-05-29,456.44,68316.63588049631,-0.7048381482770649,-1.5145519073329172
2024-05-30,451.55,67577.26558995963,-1.0713346770659826,-1.0822697590525898
2024-05-31,450.71,68372.49288434093,-0.1860259107518636,1.1767674933853112
2024-06-03,453.13,67740.01690222476,0.5369306205764257,-0.925044495870686
2024-06-04,454.37,68808.29368590549,0.27365215280383826,1.577024678370953
2024-06-05,463.53,70600.01116676089,2.015978167572685,2.6039266269763717
2024-06-06,463.37,71184.59943059199,-0.03451772269323916,0.8280285713415436
2024-06-07,462.96,70759.58819301432,-0.08848220644409599,-0.5970550385579809
2024-06-10,464.83,69654.16073760358,0.4039225851045547,-1.5622299163124187
